id,year,workoutnumber,workout_name,workout_type,time_cap,scoring,Tiebreak,workout_description
1,2011,1,Open 11.1,AMRAP,10 minutes,Reps,,"AMRAP in 10 minutes of:
30 double-unders
15 power snatches (75/55 lb)"
2,2011,2,Open 11.2,AMRAP,15 minutes,Reps,,"Complete as many rounds and reps as possible in 15 minutes of:
9 Deadlifts 155/100
12 Push-ups
15 Box jumps 24""/20"""
3,2011,3,Open 11.3,AMRAP,5 minutes,Reps,,"Complete as many rounds and reps as possible in 5 minutes of:
Squat clean 165/110
Jerk 165/110"
4,2011,4,Open 11.4,AMRAP,10 minutes,Reps,,"Complete as many rounds and reps as possible in 10 minutes of:
60 Bar-facing burpees
30 Overhead squats 120/40 lbs
10 Muscle-ups "
5,2011,5,Open 11.5,AMRAP,20 minutes,Reps,,"Complete as many rounds and reps as possible in 20 minutes of:
5 Power cleans 145/100 lbs
10 Toes to bar
15 Wall balls 20/14 lbs
Men - Target 10'
Women - Target 9'"
6,2011,6,Open 11.6,AMRAP,7 minutes,Reps,,"AMRAP in 7 minutes:
3 thrusters 100/65 lb
3 chest-to-bar pull-ups
6 thrusters 100/65 lb
6 chest-to-bar pull-ups
9 thrusters 100/65 lb
9 chest-to-bar pull-ups
If you complete the round of 9, complete a round of 12, then go on to 15, etc."
7,2012,1,Open 12.1,AMRAP,7 minutes,Reps,,"AMRAP in 7 minutes:
Burpees to a target (6 inch)"
8,2012,2,Open 12.2,AMRAP,10 minutes,Reps,,"Proceed through the sequence below completing as many reps as possible in 10 minutes of:
Snatch, 30 reps 45/75 lbs
Snatch, 30 reps 75/135 lbs
Snatch, 30 reps 100/165 lbs
Snatch, as many reps as possible 120/210 lbs"
9,2012,3,Open 12.3,AMRAP,18 minutes,Reps,,"Complete as many rounds and reps as possible in 18 minutes of:
15 Box jumps 24""/20"" 
12 Push press 115/75 
9 Toes-to-bar"
10,2012,4,Open 12.4,AMRAP,12 minutes,Reps,,"Complete as many rounds and reps as possible in 12 minutes of:
150 Wall balls (20 lbs to 10' target) (14 lbs to 9' target)
90 Double-unders
30 Muscle-ups"
11,2012,5,Open 12.5,AMRAP,7 minutes,Reps,,"Complete as many reps as possible in 7 minutes following the rep scheme below:
3 Thruster 75/100 lbs 
3 Chest to bar Pull-ups
6 Thruster 75/100 lbs 
6 Chest to bar Pull-ups
9 Thruster 75/100 lbs 
9 Chest to bar Pull-ups
12 Thruster 75/100 lbs 
12 Chest to bar Pull-ups
15 Thruster 75/100 lbs 
15 Chest to bar Pull-ups
18 Thruster 75/100 lbs 
18 Chest to bar Pull-ups
21 Thruster 75/100 lbs 
21 Chest to bar Pull-ups...
This is a timed workout. If you complete the round of 21, go on to 24. If you complete 24, go on to 27, etc."
12,2013,1,Open 13.1,AMRAP,17 minutes,Reps,,"AMRAP in 17 minutes:
40 burpees
30 snatches (75/45 lb)
30 burpees
30 snatches (135/75 lb)
20 burpees
30 snatches (165/100 lb)
10 burpees
Max snatches (210/120 lb)"
13,2013,2,Open 13.2,AMRAP,10 minutes,Reps,,"AMRAP in 10 minutes:
5 shoulder-to-overheads (115/75 lb)
10 deadlifts (115/75 lb)
15 box jumps (24/20 inch)"
14,2013,3,Open 13.3,AMRAP,12 minutes,Reps,,"AMRAP in 12 minutes:
150 wall balls
90 double-unders
30 muscle-ups"
15,2013,4,Open 13.4,AMRAP,7 minutes,Reps,,"AMRAP in 7 minutes:
3 clean-and-jerks (135/95 lb)
3 toes-to-bars
6 clean-and-jerks (135/95 lb)
6 toes-to-bars
9 clean-and-jerks (135/95 lb)
9 toes-to-bars
12 clean-and-jerks (135/95 lb)
12 toes-to-bars

If athlete completes the round of 12, go on to 15. Complete 15, go on to 18, etc."
16,2013,5,Open 13.5,AMRAP,No time cap,Reps,,"AMRAP for as long as possible:
15 thrusters (100/65 lb)
15 chest-to-bar pull-ups

If 90 reps (3 rounds) are completed in under 4 minutes, time extends to 8 minutes.
If 180 reps (6 rounds) are completed in under 8 minutes, time extends to 12 minutes. Etc."
17,2014,1,Open 14.1,AMRAP,10 minutes,,,"Complete as many rounds and reps as possible in 10 minutes of:
30 double-unders
power snatches, 15 reps (75 lb/55 lb)"
18,2014,2,Open 14.2,For reps,No time cap,Reps,,"From 0:00-3:00, perform 2 rounds of:
10 overhead squats (95/65 lb)
10 chest-to-bar pull-ups
From 3:00-6:00, perform 2 rounds of:
12 overhead squats (95/65 lb)
12 chest-to-bar pull-ups
From 6:00-9:00, perform 2 rounds of:
14 overhead squats (95/65 lb)
14 chest-to-bar pull-ups
Follow the pattern, adding 2 reps to each exercise every 3 minutes, until you fail to complete both rounds within the 3-minute interval."
19,2014,3,Open 14.3,AMRAP,8 minutes,Reps,,"AMRAP in 8 minutes of:
10 deadlifts (135/95 lb)
15 box jumps (24/20 inch)
15 deadlifts (185/135 lb)
15 box jumps (24/20 inch)
20 deadlifts (225/155 lb)
15 box jumps (24/20 inch)
25 deadlifts (275/185 lb)
15 box jumps (24/20 inch)
30 deadlifts (315/205 lb)
15 box jumps (24/20 inch)
35 deadlifts (365/225 lb)
15 box jumps (24/20 inch)"
20,2014,4,Open 14.4,AMRAP,14 minutes,Reps,,"AMRAP in 14 minutes of:
60 calorie row
50 toes-to-bars
40 wall ball shots (20/14 lb, 10/9 ft)
30 cleans (135 lb)
20 muscle-ups"
21,2014,5,Open 14.5,For time,,Time,,"21-18-15-12-9-6-3 reps for time:
Thrusters (95/65 lb)
Bar facing burpees"
23,2015,1,Open 15.1 and 15.a,AMRAP,15 minutes,Reps;Weight,,"Two parts in 15 minutes
15.1 AMRAP in 9 minutes
15 toes-to-bars
10 deadlifts
5 snatches

Then, 15.1a, from 9:00-15:00
1 rep max clean-and-jerk
"
25,2015,2,Open 15.2,EMOM; AMRAP,9 Minutes,,,"From 0:00-3:00
2 rounds of:
10 overhead squats (95 / 65 lb.)
10 chest-to-bar pull-ups

From 3:00-6:00
2 rounds of:
12 overhead squats (95 / 65 lb.)
12 chest-to-bar pull-ups

From 6:00-9:00
2 rounds of:
14 overhead squats (95 / 65 lb.)
14 chest-to-bar pull-ups
Etc., following the same pattern
until you fail to complete both
rounds"
26,2015,3,Open 15.3,AMAP,14 minutes,Reps,Yes,"Complete as many rounds and repetitions as possible in 14 minutes of:
 
7 muscle-ups
50 wall-ball shots
100 double-unders

Men use 20-lb. ball to 10 feet, Women use 14-lb.
ball to 9 feet"
